PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC90 Modifier,IC90,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 Normalized Chi2,Percent Inhibition @ 100 uM,Percent Inhibition @ 50 uM,Percent Inhibition @ 25 uM,Percent Inhibition @ 12.5 uM,Percent Inhibition @ 6.25 uM,Percent Inhibition @ 3.13 uM,Percent Inhibition @ 1.56 uM,Percent Inhibition @ 0.78 uM,Percent Inhibition @ 0.39 uM,Percent Inhibition @ 0.20 uM,Maximum Inhibition,Concentration of Maximum Inhibition
1224,24805380,1132845,CCN1N=C(N=N1)C2=CC=C(C=C2)N,Inactive,0,,,,,,,,,,,-13.56,-6.15,-4.41,3.01,-1.77,-1.56,3.07,1.46,2.3,0.02,3.07,1.56
1225,24805443,87470,CC(C)OC(=O)C1=CC=C(C=C1)N,Inactive,0,,,,,,,,,,,0.17,1.24,-3.86,-6.83,0.17,-9.58,-2.91,-5.27,-3.97,-4.45,1.24,50
1226,24805629,5902453,C1COCCN1C/C(=N/NC2=CC=C(C=C2)Br)/[N+](=O)[O-],Inactive,0,,,,,,,,,,,7.43,1.11,14.08,0.1,0.38,6.22,-2.92,-0.24,1.79,-2.82,14.08,25
1227,24806677,1441865,CC(C)(CNC1=C2CCCCC2=NC3=CC(=NN31)C4=CC(=CC=C4)OC)CN(C)C,Active,70,,,,36.29,,27.51,,2.36,7.93,4.2,99.92,99.52,31.86,1.92,0.34,-2.96,-7.26,-3.72,-6.46,-4.53,99.92,100
1228,24806920,1465566,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=C(C=C(C(=C2)OC)NC(=O)CN3CCCCC3)OC,Inactive,0,,,,,,,,,,,0.98,2.27,1.54,0.93,0.09,-10,-1.21,-3.93,-1.16,-9.3,2.27,50
1229,24806972,3103555,C1CS(=O)(=O)CC1N=CC2=CC=C(O2)C3=CC=C(C=C3)Cl,Active,41,,,>,100,>,100,,277.04,11.37,14.95,40.04,-0.24,0.93,-1.42,-9.45,-2.13,-38.15,-8.55,-5.09,-11.66,40.04,100
1230,24807094,3136669,CC1=CC=C(C=C1)C2=NNC3(S2)CCOC(C3)(C)C,Active,70,,,,41.29,,27.11,,0.76,5.22,3.09,96.67,95.6,39.76,0.4,-2.43,-0.18,-4.33,-3.24,-2.84,-4.52,96.67,100
1231,24807105,16192817,CC1(OC(=C/C(=C/C=NC2=CC=C(C=C2)OC)/O1)C3=CC=CC=C3)C.Br,Inactive,0,,,,,,,,,,,-15.05,5.89,5.5,7.14,1.46,-0.08,3.6,1.8,1.25,-1.52,7.14,12.5
1232,24807115,3132822,COC(=O)CCCCC1C(=O)C(CS1)NC(=O)C2=CC=CC=C2,Active,66,,,,49.84,,36.88,,1.66,7.3,3.12,96.59,90.26,5.5,-0.18,-1.47,-0.25,0.6,-1.77,-0.63,-7.78,96.59,100
1233,24807210,780945,CCC(=O)NC1=NC2=CC=CC=C2N1CC3=CC=C(C=C3)Cl,Active,80,,,,4.27,<,0.2,,0.01,0.41,2.43,98.09,98.04,94.16,93.21,89.97,89.05,82.44,82.45,81.99,69.32,98.09,100
1234,24807501,3219869,CC1CCCCN1C2=NC=NC3=C2SN=C3C4=CC=C(C=C4)OC,Active,42,,,>,100,,96.65,>,9999,53.57,6.48,86.2,-3.49,-3.27,-2.51,-2.07,-12.02,-10.27,-5.77,-1.98,-3.97,86.2,100
1235,24807758,1104317,C1=CC=C2C(=C1)C=CC3=C2NC(=S)N3,Inactive,0,,,,,,,,,,,2.34,0.74,7.48,3.26,5.04,-5.2,-4.18,-24.91,1.42,-3.64,7.48,25
1236,24807765,614841,CC1(CC2=CC=CC=C2C3=NNC(=O)C3=N1)C,Active,76,,,,15.1,,11.16,,0.95,7.27,5.18,100.09,97.84,91.54,69.73,-0.1,-4.86,-5.46,-7.03,-3.69,-4.94,100.09,100
1237,24807792,2870880,C1C2CC3CC1CC(C2)(C3)C4=CSC(=N4)NC(=O)C(=O)NCC5=CC=CC=N5,Active,78,,,,14.73,,6.5,,0.71,2.69,8.77,97.09,99.42,98.75,71.88,59.63,0.8,-5.06,-8.11,-2.08,-4.1,99.42,50
1238,24807849,1090785,CC1=NC(=NN1)SCC(=O)NC2=CC=C(C=C2)OCC3=CC=CC=C3,Inactive,0,,,,,,,,,,,0.31,0.89,19.24,3.16,3,5.33,-2.55,5.98,5.71,0.5,19.24,25
1239,24807894,747648,C1CCC(=NNC2=NC(=CS2)C3=CC=C(C=C3)[N+](=O)[O-])C1,Inactive,0,,,,,,,,,,,1.6,-19.25,4.42,-1.53,-8.09,-6.54,-8.17,-47.2,1.41,-4.1,4.42,25
1240,24807957,2881519,CC(C)(C)C1=CC=C(C=C1)CN2C3=CC=CC=C3N(C2=N)CC(C4=CC=CO4)O.Cl,Active,71,,,,25.6,,23.3,>,9999,23.36,5.65,99.93,99.75,83.79,-10.31,-4.89,-0.18,-3.84,-5.33,-5.51,-7.16,99.93,100
1241,24807988,1088432,CC1=CC=C(C=C1)C(=O)N2C3=CC=CC=C3N=C2N,Active,45,,,>,100,,89.92,,511.28,15.7,5.81,84.14,0.01,-0.45,-5.27,-0.06,0.4,-2.37,-6.66,-4.88,-12.97,84.14,100
1242,24808087,2827008,C1CN(CC(C1(C2=CC=CC=C2)O)C(=O)C3=CC=CC=C3)CC4=CC=CC=C4,Active,74,,,,21.81,,16.32,,0.83,7.59,3.18,100.06,100.03,96.26,11.63,2.72,6.03,3.3,-4.03,0.83,-3.15,100.06,100
1243,24808604,3161670,C1=COC(=C1)COC2=CC=C(C=C2)N,Inactive,0,,,,,,,,,,,-7.58,6.23,-4.55,-3.07,-8.84,-7.66,-5.82,-0.38,-3.94,-6.63,6.23,50
1244,24808665,3958262,C1OC2=C(O1)C=C(C=C2)OC3=CC=C(C=C3)N,Inactive,0,,,,,,,,,,,-3.59,-3.92,-0.9,-4.32,-2.41,-7.36,-5.27,-3.57,-8.22,-5.39,-0.9,25
1245,24809054,6485356,CN1C=C(C=N1)NC(=O)CCl,Active,77,,,,16.13,,8.55,,0.65,3.47,6.66,94.94,91.27,90.46,80.08,25.99,-2.61,-2.93,-5.28,-7.57,-8.74,94.94,100
1246,24809073,1447917,C1CCC(CC1)C(=O)N2CCC3=C2C=CC(=C3)C(=O)CCl,Active,64,,,>,100,,41.54,,5.38,5.34,11.78,79.84,74.61,3.69,-6.63,-20.84,0.09,-7.13,-12.37,-3.65,-5.61,79.84,100
1247,24809243,838423,CC1=CC(=C2C=CC=C(C2=N1)Br)OC/C=C(\C)/Cl,Active,72,,,,24.36,,21.21,,361.55,15.85,26.1,98.77,98.14,93.58,-0.17,-9.56,-1.57,-2.93,-5.09,-5.37,-72.71,98.77,100
1248,24809482,1101610,C1COCCN1C2=CC=C(C=C2)N=CC3=CC=C(O3)C4=C(C=C(C=C4)Cl)Cl,Inactive,0,,,,,,,,,,,-3.46,-18.14,-2.73,-4.1,-5,-11.87,-9.96,-11.02,-9.44,-8.42,-2.73,25
1249,24809830,816391,C1COCCN1C(=S)C2=CC=C(C=C2)OC(=O)/C=C/C3=CC=CO3,Active,57,,,>,100,,60.28,,8.34,2.61,10.82,81.07,34.39,16.56,-4.18,-2.74,-24.16,-6.73,-5.58,-6.51,-10.74,81.07,100
1250,24809860,381816,CCOC(=O)CNC(=O)C(CC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2,Active,79,,,,3.46,,3.04,,50.74,17.15,8.56,99.99,99.86,99.28,98.04,88.61,61.77,-11.49,-12.51,-4.62,-11.92,99.99,100
1251,24809937,3100410,CC1=C(C=C(C=C1)N/C=C\2/C3CCC(C2=O)(C3(C)C)C)C,Inactive,0,,,,,,,,,,,2.28,2.42,1.59,2.01,-0.01,-0.36,-2.02,2.15,0.08,2.38,2.42,50
1252,24809954,2883680,C1CCC(CC1)NC(=O)C2CC(=O)N(C2)C3=CC(=CC=C3)[N+](=O)[O-],Inactive,0,,,,,,,,,,,-25.34,0.75,1.88,-1.13,-2.77,-7.23,-2.25,-5.92,-3.45,-15.46,1.88,25
1253,24810017,3138341,CCCCCC(=O)NNC(=S)NC(=O)C1=CC=C(C=C1)[N+](=O)[O-],Active,79,,,,5.86,,3.22,,0.27,3.66,8.23,96.73,98.36,98.47,97.1,81.43,53.66,-5.68,-3.03,-10.36,-9.92,98.47,25
1254,24810055,5760042,CC1=C(C=C(C=C1)N2C(=O)/C(=C\C=C\C3=CC=C(O3)[N+](=O)[O-])/C(=N2)C)C,Active,76,,,,17.66,,10.92,,0.81,4.57,7.44,99.73,99.22,94.73,65.42,7.46,-11.91,-0.62,-4,-13.24,-9.58,99.73,100
1255,24810083,9589987,C/C(=N\NC(=O)C1=CN=CC=C1)/C=C/C=C/C2=CC=CC=C2,Inactive,0,,,,,,,,,,,-10.19,-2.88,-5.71,-5.98,-11.4,-4.8,-0.42,-5.2,-4.09,-12.12,-0.42,1.56
1256,24810522,751394,CC1=C(C(=CC=C1)C)NC2=C(N=C3N2C=CC=C3)C4=CC=CC=N4,Active,78,,,,8.59,,5.93,,0.08,5.93,1.66,98.62,99.25,98.76,97.88,57.8,1.59,1.78,-3.06,-1.61,-1.39,99.25,50
1257,24810615,4258900,CC1=CC=C(O1)C(=O)N2C(CC(=N2)CC(C)C)(C(F)(F)F)O,Inactive,0,,,,,,,,,,,-6.72,-5,-8.55,-7.63,-9,-17.75,-12.97,-6.77,-10.19,-12.37,-5,50
1258,24810731,16193206,CC1=C(C=CC(=C1)NC(=O)CCN2C(=O)C3C4CC(C3C2=O)C=C4)Br,Inactive,0,,,,,,,,,,,-2.08,-6.93,-1.02,-12.38,-5.38,-7.41,-6.01,-11.65,-3.35,-18.18,-1.02,25
1259,24810844,16193235,CN1CCC(=NNC(=O)C(=O)NC2=CC=CC=C2F)CC1,Inactive,0,,,,,,,,,,,-0.59,-0.19,1.35,7.37,1.79,-7.81,-7.83,-1.7,0.36,-3.2,7.37,12.5
1260,24810935,5863113,CC1\2CN3CCN(C1)CC(C3)/C2=N\NC(=O)NC4=CC(=CC=C4)Cl,Inactive,0,,,,,,,,,,,5.72,4.85,5.44,-1.07,-0.03,2.03,3.52,0.51,-0.68,8.49,8.49,0.2
1261,24810948,4151364,CC1(CC2=C(C=C(C(=O)N2C3=CC=CC=C3)C(=O)NNC4=CC=CC=C4)C(=O)C1)C,Inactive,0,,,,,,,,,,,1.32,-8.59,-7.49,-13.88,-8.71,-6.72,-24.74,-11.64,-9.6,-10.89,1.32,100
1262,24810965,782559,CCOC(=O)CSC1=NN(C(=S)S1)C2=CC=CC=C2,Active,78,,,,6.9,,6.12,,124.68,18.37,5.98,97.87,97.47,95.81,92.71,59.39,-8.72,-3.49,-6.27,-5.03,-7.16,97.87,100
1263,24811094,3327151,CCOC(=O)CN(C#N)C1=NC(=NC(=N1)N(C)C)N(C)C,Active,75,,,,14.58,,12.83,,196.95,17.24,7.71,99.66,99.36,98.32,38.93,-10.32,-13.92,-7.1,-3.74,-9.19,-4.77,99.66,100
1264,24811398,3973534,C(CNC1=C(C(=NC(=C1F)F)F)F)CNC2=C(C(=NC(=C2F)F)F)F,Active,41,,,>,100,>,100,,24.39,1.21,11.83,43.76,49.9,30.32,-6.17,-4.39,-6.39,-9.13,-8.62,-5.2,-6.85,49.9,50
1265,24811600,4917700,C1CCN(C(C1)C2=CN=CC=C2)C(=O)C3=NN4C(=CC(=NC4=C3)C5=CC=C(C=C5)F)C(F)(F)F,Active,72,,,,29.23,,20.66,,1.5,6.34,5.56,99.51,96.17,77.11,3.78,-5.44,4.72,-7.93,-3.89,-0.34,-10.21,99.51,100
1266,24811733,5402116,CC1=CC(=C(O1)C)C(=O)N/N=C\C(=C\C2=CC=CC=C2)\Br,Active,63,,,,53.59,,44.19,,21.34,11.39,4.7,96.53,80.34,-0.05,-7.52,-3.5,0.04,0.05,-2.39,-2.07,-9.25,96.53,100
1267,24811908,2859636,C1=CC=C(C=C1)OCC(CN2C3=CC=CC=C3N(C2=N)CC4=CC=C(C=C4)Cl)O.Cl,Active,72,,,,27.15,,22.65,,27.41,12.11,7.73,99.78,99.3,76.8,0.01,2.7,2.55,0.73,-4.64,0.8,-21.01,99.78,100
1268,24812225,5044270,CCN(CC)CCN1C(=O)C2=C(C3=CC=CC=C3S2)N=C1SCC(=O)N(CC=C)C4=CC=CC=C4,Active,68,,,,38.77,,30.81,,4.48,9.57,4.31,100.15,99.09,11.91,3.04,3.08,6.05,-2.42,-5.02,-4.41,-6.57,100.15,100
1269,24812663,16193732,C1CN(CCN1CCNC(=O)C2=CC=C(C=C2)CSC3=NC4=C(N3)C=NC=C4)C5=CC(=CC=C5)Cl,Active,72,,,,32.11,,21.83,,0.99,5.7,4.12,99.6,98.89,68.42,3.81,3.56,-5.45,-7.65,5.02,-2.95,-1.02,99.6,100
1270,24812669,16193738,CC1=C2C(=CC=C1)OCC3=C2SC(=C3)C(=O)NC4=CC=CC=C4N5CCN(CC5)C,Active,71,,,,27.59,,24.1,,198.85,16.27,6.11,99.89,99.77,64.43,-2.45,2.83,-8.3,-0.96,-7.87,-4.48,-11.53,99.89,100
1271,24812777,10707928,C1=CC=C(C=C1)C2=C3N=C(C4=CC=CC=C4N3N=N2)Cl,Inactive,0,,,,,,,,,,,1.59,-0.69,1.06,1.79,-9.92,-10.05,-28.33,-8.3,-9.67,-11.3,1.79,12.5
1272,24813292,16193979,C1CCN(C1)C2=C(C(=O)C2=O)NCC3=CC=C(C=C3)C(=O)N4CCC(=CC4)C5=CC=CC=C5,Active,80,,,,1.62,,1.43,,37.06,17.96,6.87,98.6,96.64,93.95,92.16,90.04,90.85,82.44,-5.32,-2.6,-6.98,98.6,100
1273,24813300,16193983,CCC(C)(C)C1=CC(=C(C=C1)OCCCC[N+]2=CC=C(C=C2)C)C(C)(C)CC.[Br-],Active,76,,,,13.82,,11.98,,33.05,15.37,3.25,100.1,100.05,100.01,65.89,-0.81,6.67,2.72,0.18,2.41,-5.1,100.1,100
1274,24813303,5334618,COC1=CC=C(C=C1)/C=N/NC2=CC(=NC(=N2)N3CCCC3)N4CCCC4,Active,73,,,,24.04,,18.58,,3.57,8.52,10.37,99.63,98.2,92.63,3.36,-11.47,-5.12,-8.18,-22.77,-6.78,-8.2,99.63,100
1275,24813524,16194046,CCOC(=O)CNC(=O)CNC(=O)C1=NN(C(=O)C2=CC=CC=C21)C3=CC(=C(C=C3)OC)Cl,Active,65,,,>,100,,38.03,,5.53,2.52,11.28,67.21,81.16,20.95,-4.19,6.39,-1.21,0.01,-1.78,-3.22,-5.18,81.16,50
1276,24813553,1257149,CC1=C(C(=O)N(N1)S(=O)(=O)CC2=CC=CC=C2)N=NC3=CC=CC=C3Cl,Active,73,,,,28.66,,18.31,,2.52,4.91,12.49,94.6,91.09,81.79,15.8,-33.23,-0.92,-1.27,0.84,-1.94,-0.9,94.6,100
1277,24813658,16194105,CCOC1=CC=C(C=C1)C2=CC(=NO2)CCCC(=O)NCCC(C)C,Active,72,,,,25.75,,22.63,,430.26,17.02,9.25,91.66,91.24,84.48,-3.05,-6.3,-2.68,-4.58,-8.4,-18.84,-5.9,91.66,100
1278,24814035,16194205,CN1C2=C(C=CC(=C2)C(=O)NCC3=CN=CC=C3)S/C(=C\C4=CC=CC=C4Cl)/C1=O,Active,60,,,,89.83,,50.65,,3.62,3.83,7.24,92.97,48.88,5.84,2.65,-6.35,-2.8,-17.91,-3.08,-5.28,-2.68,92.97,100
1279,24814047,4326087,C1CCN(CC1)C2=CC=C(S2)[N+](=O)[O-],Active,75,,,,18.53,,13.65,,0.74,7.18,3.73,100,99.9,97.73,34.87,-3.1,1.65,-1.38,-4.71,-3.49,-7.7,100,100
1280,24814238,269262,CCOC(=O)NNC1=CC=CC=C1,Inactive,0,,,,,,,,,,,5.17,-3.09,0.93,4.34,-2.45,-2.19,-5.69,-5,-4.43,-9.88,5.17,100
1281,24814246,16194272,CC1=CC=C(C=C1)S(=O)(=O)NCC2=CC=C(C=C2)C(=O)NCCCN3CCC(CC3)CC4=CC=CC=C4,Active,41,,,>,100,>,100,,11.35,3.38,6.93,42.34,7.29,-1.84,-3.09,-2.09,-16.2,-3.62,-3.12,-2.89,-8.33,42.34,100
1282,24814547,135401755,CCOC1=CC=C(C=C1)N2C=C(C3=C2N=CNC3=O)C4=CC=CC=C4,Active,47,,,>,100,,83.98,,3.67,3.97,4.14,66.88,10.44,5.78,3.91,1.2,-4.64,-4.76,-0.19,-5.85,-4.11,66.88,100
1283,24814582,5133261,CCOC(=O)C1=CC=C(C=C1)N=C2N(C(=O)CC(S2)C(=O)NC3=CC=C(C=C3)C(=O)O)CC4=CC=CS4,Inactive,0,,,,,,,,,,,5.41,6.69,24.71,10.46,7.56,10.54,3.48,-3.87,2.82,-3.34,24.71,25
1284,24815062,4055813,CC1=C(OC2=C1C=C(C=C2)S(=O)(=O)N3CCOCC3)C(=O)NC4=CC=C(C=C4)OC,Inactive,0,,,,,,,,,,,10.03,4.87,4.56,-0.1,1.52,2.33,3.24,-1.44,-1.79,0.48,10.03,100
1285,24815260,135472812,C1=CC=C(C=C1)C2=CSC3=C2C(=O)N(C=N3)/N=C/C4=CC(=C(C=C4)O)[N+](=O)[O-],Active,66,,,,59.05,,37.08,,1.87,4.72,4.61,91.29,81.37,12.67,2.52,-2.8,0.59,-6.73,-6.48,-1.76,-2.24,91.29,100
1286,24815558,7207303,C1=CC=C(C=C1)CSC2=NN=C(C=C2)C3=CC=CC=N3,Active,45,,,,94.16,,89.4,>,9999,42.36,8.49,99.14,-4.72,19.77,-2.07,-2.41,-1.36,-4.09,-7.84,-0.86,-8.51,99.14,100
1287,24815559,7207359,CCOC(=O)C1=CC=C(C=C1)NC(=O)CSC2=NN=C(C=C2)C3=CN=CC=C3,Inactive,0,,,,,,,,,,,-3,-8.57,-2.21,-7.63,-4.79,-3.64,-4.07,-8.82,-8.5,-18.46,-2.21,25
1288,24815887,7086365,C1CN(CCN1C2=CC=CC=C2)C3=NC4=C(S3)C=CC=C4Br,Inactive,0,,,,,,,,,,,7.12,-22.96,-5.25,-6.79,6.99,-3.67,1.44,4.16,-3.11,-0.72,7.12,100
1289,24815902,4346180,CC1=CC=C(C=C1)C(=O)CC(C2=CC=C(C=C2)[N+](=O)[O-])SCC(=O)O,Active,76,,,,12.06,,10.83,,560.59,20.29,7.31,98.33,97.28,96.14,94.87,-2.76,-2.01,-9.98,-12.55,-7.32,-8.97,98.33,100
1290,24816293,4123638,CCOC(=O)N1CCN=C1SCC2=CC=C(C=C2)C(F)(F)F,Inactive,0,,,,,,,,,,,3.73,2.68,5.51,3.95,-2,0.38,-2.91,-1.92,-0.51,-3.99,5.51,25
1291,24816303,4097142,C1COC(=CO1)C2=NN=C(O2)NC(=O)C3=CC=C(C=C3)CC4=CC=CC=C4,Active,76,,,,20.27,,11.72,,0.75,4.01,6.54,93.33,91.81,87.56,59.4,2.53,-4.93,-4.13,-6.03,-7.05,-2.78,93.33,100
1292,24816582,1179562,C1CN(C2=CC=CC=C21)C(=S)NC(=O)C3=CC=C(O3)Br,Active,76,,,,15.49,,10.47,,1.16,5.62,9.74,95.73,91.15,82.6,74.22,2.98,-7.39,4.13,-3.77,-5.72,-16.06,95.73,100
1293,24816626,5337698,C1=CC=C(C=C1)C2=CC=C(O2)/C=N/NC(=S)N,Active,63,,,,90.65,,43.96,,2.37,3.04,4.62,97.77,56.16,19.51,-2.28,1.28,4.44,5.36,2.49,-0.72,-5.99,97.77,100
1294,24816698,7199975,CC1=CC(=C(C=C1)N2C3=C(C=N2)C(=NC=N3)SCC(=O)OC)C,Active,78,,,,6.82,,6.02,,118.34,17.63,6.3,100,99.57,98.44,91.39,66.06,-8.05,-1.59,-8.96,-4.62,-8.49,100,100
1295,24816734,600983,CC(C)C1=CC2=C(C=C1)N=C(S2)N,Inactive,0,,,,,,,,,,,0.13,-5.62,-6.34,-3.51,-2.27,-5.96,-7.22,-11.74,-9.23,-8.25,0.13,100
1296,24816811,4136883,CCC(C)NC1=C(C(=O)N2C=CC=C(C2=N1)C)C=NC3=CC=C(C=C3)OC,Inactive,0,,,,,,,,,,,-9.31,-1.26,-1.92,1.03,-4.82,-9.18,-9.14,-8.22,-4.03,-19.74,1.03,12.5
1297,24816850,16195022,CC(C)N1CCC2=C(C1)SC(=C2C3=NC4=CC=CC=C4S3)NC(=O)C.Cl,Active,77,,,,11.24,,8.64,,0.83,8.33,5.62,92.87,96.09,96.81,95.6,6.36,-4.55,-4.74,-8.21,-4.53,-6.73,96.81,25
1298,24816932,5935500,CO/N=C\CC(=O)NC1=CC=C(C=C1)OC2=CC=CC=C2,Inactive,0,,,,,,,,,,,-1.66,-4.65,20.68,-11.31,-6.74,-1.51,-5.89,-10.53,-4.91,-11.47,20.68,25
1299,24817124,3818978,C1CN(CCC12NC(=O)N(N2)C3=CC=CC=C3)C(=O)N,Inactive,0,,,,,,,,,,,-5.19,-7.04,-3.25,-6.2,-3.76,-6.28,-6.95,-5.45,-7.54,-8.07,-3.25,25
1300,24817478,16195058,C1=CC=NC(=C1)/C(=N/NC(=O)C2=C(C=CS2)OCC3=C(C=C(C=C3)Cl)Cl)/N,Active,68,,,,39.43,,32.26,,6.23,10.94,4.53,99.45,99.18,5.79,0.02,-3.91,-3.7,-4.75,-7.19,-7.6,-1.74,99.45,100
1301,24817624,4264967,CCOC(=O)C1=NOC(C1)CNC2=C(C=C(C=N2)C(F)(F)F)Cl,Active,76,,,,14.4,,11.35,,8.16,9.24,19.26,97.23,89.84,89.8,70.99,-1.29,-10.19,-4.82,-49.92,-8.66,-7.5,97.23,100
1302,24817937,1486028,COC(=O)C1=CC=C(C=C1)CN2C=C(C=C(C2=O)[N+](=O)[O-])C(F)(F)F,Active,80,,,>,100,,0.63,,0.22,1,16.34,88.63,82.72,86.02,81.86,82.07,78.74,80.23,64.46,54.91,-6.59,88.63,100
1303,24818311,4355579,CCOC(=O)C1=NOC(=C1)C2=CC(=CC=C2)[N+](=O)[O-],Inactive,0,,,,,,,,,,,-2.44,-3.55,19.45,-7.31,-0.13,7.52,-1.97,0.45,-0.43,-5.89,19.45,25
1304,24818320,1473211,C1=CC=C(C=C1)C(=O)C2=CNC(=C2)C(=O)NNC3=CC=CC=C3,Inactive,0,,,,,,,,,,,-7.38,-7.48,-4.76,-4.25,-2.66,-12.45,-8.45,-3.07,-7.41,-4.42,-2.66,6.25
1305,24818344,5852427,C1=CC(=CC=C1CO/N=C\CC(=O)NC2=C(C=C(C=C2)F)F)[N+](=O)[O-],Active,48,,,>,100,,82.94,,12.51,1.48,6.95,57.34,27.71,25.54,-1.42,0.73,-9.67,-1.89,1.57,-6.18,-6.12,57.34,100
1306,24818373,1488301,CCOC(=O)CN1C(=CC=C(C1=O)C#N)C2=CC=CC=C2,Active,76,,,>,50,,10.38,,1.77,2.23,12.45,,74.65,80.56,70.8,22.54,-4.87,-1.74,-11.69,-8.85,-7.33,80.56,25
1307,24818398,5854745,COC1=CC=C(C=C1)N/C=C(\C2C3=CC=CC=C3C(=O)O2)/[N+](=O)[O-],Inactive,0,,,,,,,,,,,-3.38,-8.82,0.71,-0.07,1.77,-2.73,-6.56,-0.09,-1.75,-4.51,1.77,6.25
1308,24818575,6404621,CC1=CC=C(C=C1)C2=NC(=C(N=N2)C)N3CCCC3,Inactive,0,,,,,,,,,,,21.18,4.71,4.7,-10.72,-3.06,-2.73,0.87,-7.18,-2.04,-5.13,21.18,100
1309,24818600,1486898,CNC(=O)C1=CSC(=N1)C2=CC=C(C=C2)Cl,Inactive,0,,,,,,,,,,,-10.9,-1.2,-14.57,-11.77,-7.19,-21.01,-13.47,-8.52,-9.88,-11.27,-1.2,50
1310,24818606,1486211,CCOC(=O)CSC1=NC=C(C=C1)C(=O)NC2=CC=C(C=C2)OC,Active,80,,,>,100,,0.46,,0.19,0.21,4.28,74.45,74.75,70.04,66.93,65.96,57.13,55.02,45.05,47.57,53.5,74.75,50
1311,24818725,217907,C1=CC2=C(C=CC(=C2N=C1)O)F,Active,78,,,,6.56,,5.94,,1539.59,22.18,5.13,100.06,99.96,100.08,99.98,75.68,-9.66,-6.11,-4.86,-4.17,-6.24,100.08,25
1312,24818782,3323532,COC1=CC=C(C=C1)C2=C(N3C=CC=CC3=N2)CN4CCN(CC4)C5=CC=CC=C5F,Inactive,0,,,,,,,,,,,0.17,1.89,4.78,-1.43,-4.84,5.68,-7.22,4,-2.05,-4.16,5.68,3.13
1313,24819021,3578705,CC(C)(C)OC(=O)N1CCC(CC1)C2=CC(=NN2)C3=CC=C(C=C3)OC,Active,65,,,,53.69,,38.69,,1.46,6.7,2.78,99.1,84.84,5,2.8,-3.61,-4.29,2.05,0.29,-4.22,0.2,99.1,100
1314,24819034,135472877,C1=CC(=CC=C1N/N=C/C2=CC(=CN2)C(=O)CCl)F,Active,75,,,,20.04,,13.15,,1.2,5.21,10.97,98.94,98.16,94.49,43.99,-1.12,-9.23,-4.06,-27.25,-5.49,-8.27,98.94,100
1315,24819106,1474437,C1=CC=NC(=C1)C2=C(N(N=C2)C3=NC(=CS3)C4=CC=C(C=C4)F)N,Active,57,,,>,100,,59.67,,6.1,1.81,6.41,77.94,32.01,25.79,4.8,1.11,7.76,-3.81,0.5,-2.9,-6.1,77.94,100
1316,24819224,1483050,CC1=CC(=NN1)C2=C(NN(C2=O)C3=CC=CC=C3)C,Active,65,,,>,100,,39.38,,3.31,3.61,7.58,81.79,75.07,12.33,2.18,7.69,-2.2,-1.04,-10.79,-2.45,-3.9,81.79,100
1317,24819453,1488625,C1CC(=NN(C1)C(=O)C2CC2)C3=CC=C(C=C3)Cl,Active,64,,,,63.51,,42.28,,1.49,5.4,3.21,92.2,71.83,4.36,-0.92,0.28,3.49,-2.56,-0.55,-1.28,-3.48,92.2,100
1318,24819482,6409765,CC1=C(N=C(N=N1)SC)/C=C/NC2=CC=C(C=C2)OC,Inactive,0,,,,,,,,,,,-3.67,5.22,-3.82,-1.12,3.47,-7.26,-3.42,-3.84,-2.94,-5.2,5.22,50
1319,24819506,1476824,COC(=O)C1=NC=CC(=C1)SC2=C(C(=CC=C2)Cl)Cl,Active,69,,,,40.52,,29.01,,1.85,6.57,4.68,92.87,97.43,27.33,0.42,-5.02,-5.56,-6.89,-2.68,2.38,-2.89,97.43,50
1320,24819604,135410028,COC1=CC=C(C=C1)N=N/C(=C\O)/C(=O)C2=CC=CS2,Inactive,0,,,,,,,,,,,-1.6,11.29,-7.19,-3.41,-4.73,-9.49,-5.64,-2.81,-7.96,-10.92,11.29,50
1321,24819629,5707438,CC1(C=C(NC(=N1)SC)/C=C/C2=CC=C(C=C2)Cl)C,Active,65,,,,56.74,,38.29,,1.97,5.59,4.46,98.9,81.68,8.31,2.12,4.89,-6.03,-4.23,-4.92,3.67,-6.28,98.9,100
1322,24819676,3847344,CCOC1=CC=C(C=C1)N2CCC3=C(N=C(N=C32)SC)C,Inactive,0,,,,,,,,,,,11.77,13.71,4.91,-2.82,9.96,0.5,-4.26,-5.35,-7.83,-7.73,13.71,50
1323,24819839,3774782,CCOC(=O)CNC(=S)N1C=NC(=N1)N,Active,62,,,>,100,,45.82,,2.95,3.45,5.98,89.41,59.41,9.11,-2.09,1.79,-9.02,-8.75,-6.69,-2.72,-6.13,89.41,100
1324,24819865,135432825,CC1=CC(=C(C(=O)O1)C=NC2=CC=C(C=C2)OC)O,Inactive,0,,,,,,,,,,,-5.32,5.21,-4.08,-4.27,1.08,-10.59,-4.55,-4,-4.36,-7.78,5.21,50
